PlaceLabel,Name_eng,Name_zh,Field_high,period,1,2,3,4,5,6
P100(1-2),Mao_T.E.,茅以昇,Engineering,1909-1918,Cornell,Carnegie Institute of Technology,,,,
P214(1-1),Tipton_William H.,帖威林,Theology,1883-1908,Carson-Newman,Carson-Newman,,,,
P157(5-1),Lee_John Y.,李耀邦,Sciences,1883-1908,Chicago,Chicago,,,,
P027(3-2),Au_Silwing P.C.,區兆榮,Law,1919-1935,Michigan,Chicago,,,,
P027(3-2),Zee_Andrew,徐安,Sciences,1919-1935,Michigan,Chicago,,,,
P131(1-2),Wei_Sydney Koh,韋愨,Humanities,1909-1918,Oberlin,Chicago,,,,
P064(1-2),Fu_Daniel C.,傅若愚,Humanities,1909-1918,William Jewell,Chicago,,,,
P042(1-2),Beath_Sterling,,Humanities,1909-1918,Wisconsin,Chicago,,,,
P140(1-2),Yao_Y.L.,姚永勵,Law,1919-1935,Yale,Chicago,,,,
P101(1-2),Martin_Paul,,Medicine,1883-1908,Butler,Columbia,,,,
P019(1-3),Sun_Fo,孫科,Law,1909-1918,California,Columbia,,,,
P114(1-2),Rodger_H.D.,羅傑,Law,1909-1918,Chattanooga,Columbia,,,,
P072(1-2),Hsia_Jui-Ching,夏少平,,1919-1935,Chicago,Columbia,,,,
P098(1-2),Loh_Pao-Kan,陸質洤,Sciences,1909-1918,Illinois,Columbia,,,,
P048(1-2),Chen_Ho-Chin,陳鶴琴,Humanities,1909-1918,Johns Hopkins,Columbia,,,,
P037(2-2),Sze_Ying Tse-yu,施鎣,Sciences,1909-1918,Massachusetts Institute of Technology,Columbia,,,,
P037(2-2),Zhen_M.S.,陳明壽,Sciences,1909-1918,Massachusetts Institute of Technology,Columbia,,,,
P036(2-2),Ngao_Sz-Chow,敖士洲,,1919-1935,Michigan,Columbia,,,,
P036(2-2),Speery_Henry M.,,Humanities,1919-1935,Michigan,Columbia,,,,
P056(1-2),Doon_Dayu,董大酉,Sciences,1919-1935,Minnesota,Columbia,,,,
P026(4-2),Sun_J.H.,孫瑞璜,Sciences,1919-1935,New York University,Columbia,,,,
P119(1-2),Sung_William Z.L.,沈嗣頁,Education,1919-1935,Oberlin,Columbia,,,,
P085(1-2),Kwong_Edward Y.K.,鄺耀望,Sciences,1919-1935,Pomona,Columbia,,,,
P030(3-2),Huang_H.L.,黃漢頁,Law,1909-1918,Princeton,Columbia,,,,
P030(3-2),Welles_Henry H.,,Sciences,1919-1935,Princeton,Columbia,,,,
P091(1-2),Ling_C.P.,林振彬,Humanities,1909-1918,Rochester,Columbia,,,,
P035(2-2),Lum_Joe W.,林藻垣,Medicine,1909-1918,Stanford,Columbia,,,,
P070(1-2),Hipps_J.B.,,Humanities,1883-1908,Wake Forest,Columbia,,,,
P136(1-2),Wool_Swain,吳士蔚,Sciences,1919-1935,William & Mary,Columbia,,,,
P088(1-2),Liang_Chi-tai,梁基泰,Humanities,1909-1918,Wisconsin,Columbia,,,,
P061(1-2),Fitch_George A.,,Sciences,1883-1908,Wooster,Columbia,,,,
P034(2-2),Lin_Peter Wei,林障,,1919-1935,Yale,Columbia,,,,
P034(2-2),Ma_Y.C.,馬寅初,Humanities,1909-1918,Yale,Columbia,,,,
P092(1-2),Ling_T.G.,林天骥,,1919-1935,Brown,Cornell,,,,
P146(18-1),Lew_Gideon T.,劉廷蔚,Sciences,1919-1935,Cornell,Cornell,,,,
P146(18-1),Koo_Nee Sun,頤宜孫,Engineering,1919-1935,Cornell,Cornell,,,,
P146(18-1),Yui_Ming,余銘,Law,1919-1935,Cornell,Cornell,,,,
P222(1-1),Wu_Tse-Wei,吳志衛,Business & Commerce,1919-1935,Detroit,Detroit,,,,
P032(2-2),West_Eric Ralph,,Law,1909-1918,California,George Washington,,,,
P054(1-2),Christophersen_Carl E.,,,1919-1935,Drake,George Washington,,,,
