"MainField"	"Subfield"	"Affiliation_type"	"RecId"	"NameID"	"Title/Qualifier"	"FullName"	"Chinese"	"Pinyin"	"University"	"Degree"	"Year"	"Page"	"PDF"
"Engineering"	"Aeronautical Engineering"	"Education"	"R00053"	"N00048"	"Lt. Col."	"Lynn Chu"	"朱霖"	"Zhu Lin"	"M.I.T."	"M.S."		97	120
"Engineering"	"River Conservancy"	"Education"	"R00021"	"N00020"		"Shu-t'ien Li"	"李世田"	"Li Shitian"	"Cornell"	"Ph.D."		94	117
"Engineering"	"Electrical Communication"	"Education"	"R00117"	"N00109"		"S. M. Lee"	"李熙謀"	"Li Ximou"	"Harvard"	"M.S."		103	126
"Engineering"	"Electrical Communication"	"Education"	"R00116"	"N00109"		"S. M. Lee"	"李熙謀"	"Li Ximou"	"M.I.T."	"M.S."		103	126
"Engineering"	"Chemical Engineering"	"Education"	"R00034"	"N00031"		"K. T. Lee"	"李祖範"	"Li Zufan"	"M.I.T."	"B.S."		95	118
"Engineering"	"Electrical Communication"	"Education"	"R00109"	"N00102"		"Lee Fang-Yi"	"李範一"	"Li Fanyi"	"Pittsburgh"			102	125
"Engineering"	"Electrical Manufacture"	"Education"	"R00128"	"N00119"	"Dr."	"John Y. Lee"	"李耀邦"	"Li Yaobang"	"Chicago"	"Ph.D."		104	127
"Engineering"	"Railway Engineering"	"Education"	"R00013"	"N00012"		"Y. Lee"	"李育"	"Li Yu"	"Cornell"	"M.C.E."		93	116
"Engineering"	"Engineering Research"	"Education"	"R00141"	"N00131"	"Prof."	"Y. W. Lee"	"李郁榮"	"Li Yurong"	"M.I.T."	"Ph.D."		105	128
"Engineering"	"Railway Engineering"	"Education"	"R00011"	"N00010"		"C. Y. Tu"	"杜鎭遠"	"Du Zhenyuan"	"Cornell"	"M.C.E."		93	116
"Engineering"	"Engineering Research"	"Education"	"R00150"	"N00140"	"Dr."	"T. M.  Tu"	"杜長明"	"Du Changming"	"M.I.T."	"Ph.D."		106	129
"Engineering"	"Architecture"	"Education"	"R00076"	"N00069"		"Shih-Cheng Liang"	"梁思成"	"Liang Sicheng"		"M.Arch."		99	122
"Engineering"	"Architecture"	"Education"	"R00070"	"N00063"		"T. P. Yang"	"楊廷寶"	"Yang Tingbao"	"Pennsylvania"	"M.Arch."		98	121
"Engineering"	"Electrical Manufacture"	"Education"	"R00122"	"N00114"		"C. S. Yang"	"楊景時"	"Yang Jingshi"	"Pittsburgh"			103	126
"Engineering"	"Engineering Research"	"Education"	"R00136"	"N00126"		"S. L. Yang"	"楊肇燫"	"Yang Zhaolian"	"M.I.T."	"M.S."		105	128
"Engineering"	"Engineering Research"	"Education"	"R00133"	"N00124"	"Late"	"C. Yang"	"楊銓"	"Yang Quan"	"Cornell"	"M.E.E."		104	127
