"MainField"	"Subfield"	"Affiliation_type"	"RecId"	"NameID"	"FullName"	"Chinese"	"Pinyin"	"Organisation"	"Type"	"Sublevel"	"Position"	"Rank"	"Status"	"Year_start"	"Year_end"	"Page"	"PDF"	"other_source"	
"Engineering"	"Engineering Research"	"Position"	"R00215"	"N00141"	"Ke-Chung Chang"	"張克忠"	"Zhang Kezhong"	"Li-Chung Chemical Works"	"Private company"		"Chief engineer"		"Past"			105	128		
"Engineering"	"Mechanical Engineering"	"Position"	"R00106"	"N00059"	"K. C. Chang"	"張可治"	"Zhang Kezhi"	"Ministry of Industries"	"Central government/administration"	"Central Machine Works"	"Chief engineer"	1	"Past"			97	120		
"Engineering"	"Mechanical Engineering"	"Position"	"R00107"	"N00059"	"K. C. Chang"	"張可治"	"Zhang Kezhi"	"National Central University"	"Education/research"	"Mechanical department"	"Head"	1	"Current"			98	121		
"Engineering"	"River Conservancy"	"Position"	"R00042"	"N00016"	"H. Y. Chang"	"張含英"	"Zhang Hanying"	"Yellow River Commission"	"Railway/Infrastructure"		"Chief engineer"		"Current"			94	117		
"Engineering"	"Electrical Power Engineering"	"Position"	"R00148"	"N00092"	"C. C. Chang"	"張家祉"	"Zhang Jiazhi"	"National Construction Commission"	"Central government/administration"	"Electricity Division"	"Chief"	1	"Current"			101	124		
"Engineering"	"Electrical Manufacture"	"Position"	"R00182"	"N00116"	"Waken Chang"	"張惠康"	"Zhang Huikang"	"Asiatic Manufacturing Company"	"Private company"		"Manager"	1	"Current"			104	127		
"Engineering"	"Electrical Manufacture"	"Position"	"R00183"	"N00116"	"Waken Chang"	"張惠康"	"Zhang Huikang"	"Eastern Neon Light Company"	"Private company"		"Manager"	1	"Current"			104	127		
"Engineering"	"Mining Engineering"	"Position"	"R00081"	"N00041"	"Chang Kin-Fan"	"張景芬"	"Zhang Jingfen"	"Fu-Kuo Coal Mining Company"	"Factory/mine/station"		"Chief engineer"	1	"Current"			96	119		
"Engineering"	"River Conservancy"	"Position"	"R00051"	"N00023"	"T. L. Chang"	"張自立"	"Zhang Zili"	"Chekiang Conservancy Bureau"	"Local government/administration"		"Director"	1	"Current"			94	117		
"Engineering"	"Municipal Works"	"Position"	"R00116"	"N00072"	"Henry Panhoe"	"彭回"	"Peng Hui"	"Canton Municipal Government"	"Local government/administration"				"Past"			99	122		
"Engineering"	"River Conservancy"	"Position"	"R00045"	"N00019"	"S. T. Hsu"	"徐世大"	"Xu Shida"	"North River Commission"	"Railway/Infrastructure"		"Chief engineer"	1	"Current"			94	117		
"Engineering"	"Municipal Works"	"Position"	"R00117"	"N00073"	"Paul H. Hsu"	"徐佩璜"	"Xu Peihuang"	"City Government of Greater Shanghai"	"Local government/administration"	"Bureau of Public Utilities"	"Director"	1	"Current"			99	122		
"Engineering"	"Engineering Research"	"Position"	"R00209"	"N00135"	"M. T. Hsu"	"徐名材"	"Xu Mingcai"	"Chiao-Tung University"	"Education/research"		"Professor"		"Current"			105	128		
"Engineering"	"Chemical Engineering"	"Position"	"R00065"	"N00034"	"Zai-Ziong Zee"	"徐善祥"	"Xu Shanxiang"	"Ministry of Industries"	"Central government/administration"		"Senior technical expert"	1	"Past"			95	118		
"Engineering"	"Chemical Engineering"	"Position"	"R00066"	"N00034"	"Zai-Ziong Zee"	"徐善祥"	"Xu Shanxiang"				"Consulting engineer"		"Current"			95	118		
"Engineering"	"Electrical Power Engineering"	"Position"	"R00157"	"N00098"	"U. D. Hsu"	"徐恩第"	"Xu Endi"	"Shanghai Nantao Electricity Company"	"Private company"		"Chief engineer"	1	"Current"			101	124		
"Engineering"	"Electrical Power Engineering"	"Position"	"R00147"	"N00091"	"C. Yun"	"憚震"	"Da Zhen"	"National Construction Commission"	"Central government/administration"	"Regulation board for the private electrical enterprises"	"Chairman"	1	"Current"			101	124		
