"","Organization","degree2","eigen2","betw2","close2","Type","Type2"
"43","Cantonese Baptist Church",0.0828877005347594,0.1131383568053,12.4424454522412,0.00134048257372654,"Other","Religion"
"44","Cantonese Club",0.0989304812834225,0.153363931829715,155.704640909956,0.0012853470437018,"Association",NA
"45","Cantonese Guild",0.17379679144385,0.271553259737642,667.017736713339,0.00135135135135135,"Association",NA
"46","Capitol Theater",0.0828877005347594,0.1131383568053,12.4424454522412,0.00134048257372654,"Facility",NA
"47","Central Bank of China",0.0454545454545455,0.0570131625187515,103.6559012339,0.00119331742243437,"Administration","Central"
"48","Central China College",0.0775401069518717,0.0873791294634204,2.38368607017033,0.00131406044678055,"Education","China"
"49","Central Government Mint",0.0668449197860963,0.106815559277266,4.66289819388815,0.00128865979381443,"Administration","Central"
"50","Central University Business College",0.0828877005347594,0.1131383568053,12.4424454522412,0.00134048257372654,"Education","China"
"51","Cercle Sportif Francais",0.192513368983957,0.408551340858976,593.823145518021,0.00131926121372032,"Association",NA
"52","Changchow Hospital",0.0828877005347594,0.1131383568053,12.4424454522412,0.00134048257372654,"Facility","Hospital"
"53","Chas. H. Couch & Son",0.0695187165775401,0.0513155809208644,3.37492408359621,0.00121654501216545,"Business","Architect"
"54","Chekiang Industrial Bank Ltd",0.0294117647058824,0.0261287522282065,1.85026257719809,0.00110741971207087,"Business","Finance"
"55","Chen-Moon Primary School",0.0695187165775401,0.0513155809208645,3.37492408359621,0.00121654501216545,"Education","China"
"56","Cheng Chi Hui",0.0775401069518717,0.0873791294634204,2.38368607017033,0.00131406044678055,"Association",NA
"57","Cheshire Military Academy",0.0267379679144385,0.032608256226143,1.5094249211313,0.00113250283125708,"Education",NA
"58","Chester Manufacturing Co",0.0668449197860963,0.106815559277266,4.66289819388815,0.00128865979381443,"Business",NA
"59","Chiao-Tung Club",0.0320855614973262,0.0437407443832714,1.98331126106582,0.00125470514429109,"Association",NA
"60","Chiao-Tung University",0.0935828877005348,0.0574305899789667,2.18104109254107,0.00119760479041916,"Education","China"
"61","Chicago Dental Society",0.0454545454545455,0.0542968834945656,0.061110520166604,0.00128369704749679,"Association",NA
"62","Chicago World Exposition",0.0347593582887701,0.0571463760862192,4.3906021116534,0.00125786163522013,"Other","Conference"
"63","China & South Seas Bank Ltd",0.0695187165775401,0.0513155809208644,3.37492408359621,0.00121654501216545,"Business","Finance"
"64","China Development Finance Corporation",0.0454545454545455,0.0650063551218524,5.888533692624,0.00127064803049555,"Business","Finance"
"65","China Finance Corporation",0.0374331550802139,0.0725754287522919,7.34626958886198,0.00111234705228031,"Business","Finance"
"66","China Institute in America",0.0989304812834225,0.161407551919622,9.58489108087432,0.00134952766531714,"Other",NA
"67","China Inter-collegiate Athletic Association",0.0588235294117647,0.0887050114022227,6.26903524567283,0.00132978723404255,"Association",NA
"68","China International Famine Relief Commission",0.0294117647058824,0.0261287522282065,1.85026257719809,0.00110741971207087,"Administration","International"
"69","China Medical Association",0.109625668449198,0.134247090923592,146.464511780628,0.0013262599469496,"Association",NA
"70","China National Amateur Athletic Federation",0.0588235294117647,0.0887050114022227,6.26903524567283,0.00132978723404255,"Association",NA
"71","China National Child Welfare Association",0.0508021390374332,0.0831020969868589,10.6390301461734,0.00131061598951507,"Association",NA
"72","Chinese Army",0.0508021390374332,0.087687979359228,19.1229926705348,0.00131061598951507,"Other","Military"
"73","Chinese Bankers' Institute",0.0294117647058824,0.0261287522282065,1.85026257719809,0.00110741971207087,"Association",NA
"74","Chinese Economic Society",0.0695187165775401,0.0513155809208644,3.37492408359621,0.00121654501216545,"Association",NA
"75","Chinese Engineering Association",0.0320855614973262,0.0437407443832714,1.98331126106582,0.00125470514429109,"Association",NA
"76","Chinese Foreign Famine Relief Committee",0.0508021390374332,0.0831020969868589,10.6390301461734,0.00131061598951507,"Administration","International"
"77","Chinese Government (Qing)",0.0508021390374332,0.0831020969868589,10.6390301461734,0.00131061598951507,"Government","Central"
"78","Chinese Institute of Engineers",0.122994652406417,0.112693002405929,418.295783587251,0.00114942528735632,"Association",NA
"79","Chinese Jockey Club",0.109625668449198,0.199717984364186,200.515113453598,0.00131061598951507,"Association",NA
"80","Chinese Medical Association",0.0641711229946524,0.153210793682763,20.9107371224017,0.00118343195266272,"Association",NA
"81","Chinese Mission to Lepers",0.155080213903743,0.212488851457163,540.183745105738,0.0013869625520111,"Other","Philanthropy"
"82","Chinese National Cultural and Economic Institute",0.0989304812834225,0.161407551919623,9.58489108087432,0.00134952766531714,"Other","Research"
"83","Chinese Recreation Club",0.0588235294117647,0.0887050114022227,6.26903524567283,0.00132978723404255,"Association",NA
"84","Chinese Referees' Association",0.0588235294117647,0.0887050114022227,6.26903524567283,0.00132978723404255,"Association",NA
"85","Chinese Y.M.C.A",0.0828877005347594,0.1131383568053,12.4424454522412,0.00134048257372654,"Association",NA
"86","Chinese Y.M.C.A. High School",0.0695187165775401,0.0513155809208645,3.37492408359621,0.00121654501216545,"Education","China"
"87","Chinese-American Bank of Commerce",0.0240641711229947,0.0259179797565967,0.466800169485591,0.00104058272632674,"Business","Finance"
"88","Ching Chong Memorial Hospital",0.0775401069518717,0.0873791294634204,2.38368607017033,0.00131406044678055,"Facility","Hospital"
"89","Christian Educational Association of China",0.10427807486631,0.131485313031716,164.513678487252,0.0013550135501355,"Association",NA
"90","Chung San National Memorial Park",0.0294117647058824,0.0521139388550733,3.31509918840486,0.00120192307692308,"Facility",NA
"91","Church of Our Saviour",0.0401069518716578,0.0491122591118571,2.16301672479961,0.00109769484083425,"Other","Religion"
"92","College of New Rochelle",0.0989304812834225,0.161407551919623,9.58489108087432,0.00134952766531714,"Education","US"
"93","Columbia Country Club",0.339572192513369,0.771980373469558,2915.7492542761,0.00145772594752187,"Association",NA
"94","Columbia Electric Vehicle Co",0.0267379679144385,0.0326082562261431,1.5094249211313,0.00113250283125708,"Business",NA
