"","PlaceLabel","Degree","DegreeN","Eig","Betw","Close","PlaceNumber","NbElements","NbSets","PlaceDetail"
"130","P133(1-2)",18,0.0989010989010989,0.197773265330933,97.5344206909586,0.00231481481481481,133,1,2,"{Wong_I.P.} - {New York University;Northwestern}"
"131","P134(1-2)",13,0.0714285714285714,0.162538595707579,181.877478876958,0.0022271714922049,134,1,2,"{Wong_James} - {New Bedford;New York University}"
"132","P135(1-2)",14,0.0769230769230769,0.0767370641353851,84.0200188700189,0.00226757369614512,135,1,2,"{Wong_Yuan D.} - {Michigan;Minnesota}"
"133","P136(1-2)",32,0.175824175824176,0.8035231964345,0.916448657178062,0.00274725274725275,136,1,2,"{Wool_Swain} - {Columbia;William & Mary}"
"134","P137(1-2)",12,0.0659340659340659,0.0466698295910942,235.561370483939,0.0023094688221709,137,1,2,"{Wu_Pond S.} - {Purdue;Wisconsin}"
"135","P138(1-2)",50,0.274725274725275,0.859281030326469,636.929695526034,0.00291545189504373,138,1,2,"{Wu_Shou Sing} - {Columbia;Harvard}"
"136","P139(1-2)",5,0.0274725274725275,0.00451620438185068,0,0.00175746924428822,139,1,2,"{Yang_Yung Ching} - {George Washington;Southern College}"
"137","P140(1-2)",27,0.148351648351648,0.165686610481501,337.804187305754,0.00251889168765743,140,1,2,"{Yao_Y.L.} - {Chicago;Yale}"
"138","P141(1-2)",4,0.021978021978022,0.0309236207362129,0,0.0019723865877712,141,1,2,"{Yap_Raymond} - {Minnesota;Tulane}"
"139","P142(1-2)",18,0.0989010989010989,0.0911161484912715,0.182478632478632,0.00226757369614512,142,1,2,"{Yapp_Daniel K.F.} - {Pennsylvania;Swarthmore}"
"140","P143(1-2)",19,0.104395604395604,0.0938070729329883,157.126684545208,0.00237529691211401,143,1,2,"{Yeh_Chia-tsun} - {Cornell;Michigan}"
"141","P144(1-2)",3,0.0164835164835165,0.00387205643130684,0,0.00162866449511401,144,1,2,"{Yung_Kuanty} - {Coe College;Iowa State}"
"142","P145(18-1)",18,0.0989010989010989,0.0806343478134042,0,0.00240384615384615,145,18,1,"{Chang_Hsueh-Wen;Chang_Kin-fang;Chang_Loy;Fu_W.S.;Ho_Philip L.;MacKinnon_Joseph A.;New_W.S.;Reed_John T.S.;Shen_Pao Guay;Soong_T.A.;Sung_I-chung;Sung_Jess;Wadsworth_Julius;Wen_Yu-Ching;Woo_L.S.;Woo_S.T.;Yu_Zu Shung;Zau_Z.D.} - {Harvard}"
"143","P146(18-1)",9,0.0494505494505494,0.0484878128062334,0,0.00216450216450216,146,18,1,"{Conant_Harold A.R.;Fistere_Joseph Jr.;Hsu_Kuan-san;Hu_Dickson;King_Chau;Koo_Kong Loh;Koo_Nee Sun;Kuo_Cheng Chih;Lau_Waan Wai;Lee_Dih-yuin;Lew_Gideon T.;Li_Kien Yo;Mead_L.J.;Palmer_Walter;Tsou_P.W.;Wang_Ching-Shi;Yu_T.M.;Yui_Ming} - {Cornell}"
"144","P147(16-1)",12,0.0659340659340659,0.0886874147045812,0.0238095238095238,0.0022883295194508,147,16,1,"{Arnold_Harrison;Arnold_Millard;Chow_Chester T.C.;Dunn_T.B.;Fryer_George B.;Howard_Edward P.;Kwan_Ko Kwai;Kwok_Peter Y.;Laidlaw_Ashton;Lee_J.B.;Li_Teh-young;McIntosch_Melville .E;Perkins_James E.;Sawyer_John B.;Service_Robert R.;Wong_Yu Fong} - {California}"
"145","P148(16-1)",18,0.0989010989010989,0.0911161484912715,0.182478632478632,0.00226757369614512,148,16,1,"{Chang_Tuh-yui;Chao_Shen;Chen_J.K.;Chow_Sze Tsong;Fan_Robert;How_Bang;Hsu_Tse Shing;Hsu_W. Imin;Li_T.M.;Lutey_Kent;Ting_H.N.;Tyau_E.S.;Wei_Lott H.T.;Yang_Fred Y.T.;Yang_Sidney Hsi Yuan;Yen_H.L.} - {Pennsylvania}"
"146","P149(15-1)",32,0.175824175824176,0.8035231964345,0.916448657178062,0.00274725274725275,149,15,1,"{Calder_A. Bland;Chang_Z.L.;Choy_J.K.;Hsu_Jabin;Lee_Milton C.;Lee_Poy Gum;Lo_Hsiao-Yung;Mei_Cheuk-Shang;Rhame_John F.;Seibert_Elvin;Simmons_W.M.;Woo_Herbert;Woo_Tonzoo C.;Yang_Wei-Ping;Yen_K.T.} - {Columbia}"
"147","P150(15-1)",10,0.0549450549450549,0.0480350107058874,0,0.00216919739696312,150,15,1,"{Chen_Henry C.H.;Chen_Ssu-Tu;Feng_Chen Ren;Heald_Wallace S.;Hsu_Edward Y.;King_Benjamin;Louison_B.H.;Marcus_Morey;Sellett_George;Tsha_Kingwell;Wang_Kwan-Hsien;Wong_Shiu Hung;Wu_John C.H.;Yang_Jenken;Zee_T.T.} - {Michigan}"
"148","P151(12-1)",10,0.0549450549450549,0.0486877365855717,0,0.00223214285714286,151,12,1,"{Armour_Wendell;Chen_L.T.;Chou_Tzu Pei;Chung_Daniel M.;Hillhouse_Francis Betts;Lee_Tsufah;Matsumato_Shigeharu;Murphy_H.K.;Sheridan_H.J.;Tan_W.H.;Throop_Montgomery;Yung_Barlett G.} - {Yale}"
"149","P152(11-1)",12,0.0659340659340659,0.162398306690194,0.877478876958282,0.00222222222222222,152,11,1,"{Khong_Loy;Kwok_Percy;Lee_Edward W.;Low_Yohmin;Pun_Tsze;Wang_Tom Z.;Way_Fritz P.;Wu_Hueyjung L.;Wythe_Donald H.;Yen_Johnson;Yui_K.L.} - {New York University}"
"150","P153(10-1)",8,0.043956043956044,0.044161792878752,0,0.00214132762312634,153,10,1,"{Avery_Eric;Belknap_W.C.;Chen_Ping-tsang;Clair_Verne;Cornish_Albert C.;Daub_W.H.;Ely_J.A.;Hoyt_Lansing;Logan_Tracy H.;Nichols_Charles A._Jr.} - {Princeton}"
"151","P154(7-1)",7,0.0384615384615385,0.0415745520940302,0,0.00219298245614035,154,7,1,"{Baker_John Earl;Brewer_R.W.;Culbertson_C.D.;Hager_A.R.;Mokrejs_J. John;Neprud_Carl;Stocker_E.C.} - {Wisconsin}"
"152","P155(7-1)",5,0.0274725274725275,0.0302379615897547,0,0.00198807157057654,155,7,1,"{Chen_Sidney Y.;Ede_Franck C.;Hsu_Paul;Kuo_Y.M.;Kwok_Walter;Lee_T. Tsufan;Li_S.D.} - {Massachusetts Institute of Technology}"
"153","P156(7-1)",7,0.0384615384615385,0.0387877412966984,0,0.00211416490486258,156,7,1,"{Chung_Will T.;Dawson_Owen L.;Farnsworth_Linden L.;Kwong_Frederick G.;Pawn_Zunlean;Wong_Benjamin;Wong_W.F.} - {Illinois}"
"154","P157(5-1)",17,0.0934065934065934,0.121795564532371,0.0608333333333333,0.00228310502283105,157,5,1,"{Ibusuki_Hidehiko;Lee_John Y.;Lowe_Chuan-Hwa;Moy_Howard R.;Yen_Loo-Ching} - {Chicago}"
"155","P158(4-1)",4,0.021978021978022,0.00781121300988436,0,0.00185185185185185,158,4,1,"{Butrick_Richard P.;Cleary_Frank C.;Collins_Daniel J.;Ridgway_J.W.} - {Georgetown}"
"156","P160(4-1)",2,0.010989010989011,0.00149882402231801,0,0.00159744408945687,160,4,1,"{Nance_Dana W.;Nance_William K.;Soong_T.L.;Vaughn_Charles S.} - {Vanderbilt}"
"157","P161(3-1)",3,0.0164835164835165,0.0293147322118917,0,0.00193423597678917,161,3,1,"{Abend_Hallet;Iseri_K.T.;Wong_Ralph B.} - {Stanford}"
